"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","B","04","28679248","Abans Toastmasters Club","Active","N","24","24","0","2","0","0","0","0","0","0","0","0","0","4","1","0","1",""
"82","C","01","01888017","Singer Sri Lanka Toastmasters Club","Active","Y","22","20","-2","2","0","0","0","1","0","0","0","0","6","4","1","0","1",""
"82","C","01","03598897","Awakening Toastmasters","Active","Y","56","48","-8","5","2","2","1","3","1","0","0","0","7","7","1","1","1",""
"82","C","01","05477954","Innovative Minds Toastmasters","Active","Y","18","15","-3","4","2","2","0","1","0","0","4","0","6","5","1","0","1",""
"82","C","01","07786269","Versatile Toastmasters Club","Active","Y","11","9","-2","2","0","0","0","0","0","0","0","0","6","5","1","0","1",""
"82","C","02","03835845","Informatics Institute of Technology","Active","Y","27","23","-4","2","1","1","0","0","0","0","3","0","6","4","1","0","1",""
"82","C","02","07471485","Dehiwala Toastmasters Club","Active","Y","48","41","-7","7","8","2","1","1","1","0","4","5","7","7","1","0","1",""
"82","C","02","07780371","AATSL Emerging Toastmasters Club","Active","Y","20","17","-3","8","4","2","1","2","1","1","4","1","7","7","1","0","1",""
"82","C","02","07980844","Hemas Holdings Toastmasters Club","Active","Y","8","8","0","0","2","0","0","0","0","0","1","0","4","0","0","0","1",""
"82","C","02","28678621","ECU Sri Lanka Toastmasters Club","Active","Y","20","31","11","10","14","2","2","2","1","1","4","9","7","7","1","0","1",""
"82","C","03","00002773","Sampath Bank Toastmasters Club","Active","Y","20","24","4","3","0","0","0","0","0","0","4","1","4","5","1","0","1",""
"82","C","03","00636934","Lyceum Toastmasters Club Nugegoda ","Active","Y","27","35","8","8","5","1","0","2","1","2","4","10","7","7","1","1","1",""
"82","C","03","06588287","Open University Toastmasters","Active","Y","12","11","-1","1","3","0","0","0","0","0","3","0","4","3","1","0","1",""
"82","C","03","07974483","Elicit Toastmasters Club","Active","Y","20","11","-9","3","1","1","0","0","1","0","1","0","5","7","1","0","1",""
"82","C","04","01016391","Braybrooke Toastmasters Club","Active","Y","20","12","-8","5","3","2","0","2","1","0","1","0","7","7","1","0","1",""
"82","C","04","01334805","CIPM Toastmasters Club","Active","Y","26","27","1","6","2","1","0","2","1","2","4","1","7","7","1","0","1",""
"82","C","04","06519630","Sri Lanka Customs Toastmasters Club","Active","Y","25","41","16","8","4","2","1","3","1","0","4","14","7","7","1","1","1",""
"82","C","04","07484508","LOLC Toastmasters","Active","Y","20","20","0","5","4","0","0","0","1","0","4","3","7","7","1","0","1",""
"82","C","04","28678693","Eswaran Brothers Toastmasters Club","Active","Y","20","18","-2","4","4","2","0","0","0","0","2","0","7","7","1","0","1",""
"82","D","01","00918672","Ralph Toastmasters Club","Active","Y","49","52","3","8","4","1","0","2","1","2","4","7","7","7","1","0","1",""
"82","D","01","01290125","Marketers Toastmasters Club","Active","Y","35","41","6","8","2","2","1","2","1","2","4","5","7","7","1","0","1",""
"82","D","01","05163369","LSEG Sri Lanka Toastmasters","Active","Y","24","29","5","3","2","0","0","0","0","0","4","2","7","7","1","0","1",""
"82","D","01","07941356","Bank of Ceylon Sabaragamuwa Toastmasters Club","Low","Y","13","5","-8","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"82","D","02","05231508","HSBC Global Service Centre","Active","Y","25","28","3","7","2","2","0","1","1","1","4","4","7","7","1","0","1",""
"82","D","02","05663570","Sysco Labs SL Toastmasters","Active","Y","8","13","5","3","0","0","0","0","1","0","4","3","7","4","1","0","0",""
"82","D","02","07980809","Torrington Toastmasters Club","Active","Y","34","42","8","8","3","2","1","2","1","1","4","6","7","7","1","1","1",""
"82","D","02","28676942","iTelaSoft Toastmasters Club","Active","Y","20","19","-1","4","0","0","0","0","0","0","4","6","7","4","1","0","1",""
"82","D","03","00598998","University of Moratuwa Toastmasters Club","Active","Y","12","9","-3","3","3","1","0","1","0","0","4","0","4","4","1","0","1",""
"82","D","03","01195101","SLT Toastmasters","Active","Y","12","10","-2","1","0","0","0","0","0","0","1","0","4","1","1","0","1",""
"82","D","03","01861319","Moratuwa Toastmasters","Active","Y","34","38","4","5","3","2","1","1","0","0","4","7","7","7","1","0","1",""
"82","D","03","02823690","KDU Toastmasters Club","Active","Y","79","86","7","10","20","2","11","9","1","6","4","21","7","7","1","1","1",""
"82","D","03","28678375","IESL Ruhuna Toastmasters Club","Active","Y","20","21","1","5","1","0","0","0","1","0","4","7","5","7","1","0","1",""
"82","D","04","00614737","IESL Toastmasters Club","Active","Y","46","47","1","8","3","2","0","2","1","4","4","9","6","7","1","0","1",""
"82","D","04","01280859","Sri Lanka Institute of Marketing Toastmasters Club","Active","Y","16","20","4","4","0","0","0","2","0","0","4","3","4","5","1","0","1",""
"82","D","04","06650246","University of Colombo Toastmasters Club","Active","Y","21","10","-11","3","1","0","0","0","1","0","4","1","5","3","1","0","1",""
"82","D","04","07392229","Startup Colombo Toastmasters Club","Active","Y","24","26","2","8","4","2","2","3","1","0","4","3","7","7","1","0","1",""
"82","D","04","07988670","CECB Toastmasters Club","Active","Y","25","26","1","8","4","2","0","2","1","3","4","2","7","7","1","0","1",""
"82","D","04","28679323","IRD Toastmasters Club","Active","Y","20","25","5","3","0","0","0","0","0","0","4","1","0","5","1","0","1",""
"82","E","01","00007595","The Millennium Toastmasters Club","Active","Y","39","41","2","9","4","2","1","2","1","2","4","9","7","7","1","0","1",""
"82","E","01","07229720","HUTCH Toastmasters Club","Active","Y","11","15","4","4","0","1","0","0","1","0","4","2","7","7","1","0","1",""
"82","E","01","28677141","NHCO Toastmasters Club","Active","Y","27","33","6","8","6","2","0","4","1","0","4","4","7","7","1","0","1",""
"82","E","01","28678632","A J Medichem Toastmasters Club","Active","Y","20","20","0","3","0","0","0","0","0","0","4","2","7","6","1","0","1",""
"82","E","02","00698816","ICASL Toastmasters Club","Active","Y","40","44","4","7","3","2","0","0","1","1","4","6","7","6","1","0","1",""
"82","E","02","04631334","CBA Toastmasters Club","Active","Y","20","25","5","4","1","0","0","0","0","0","4","4","7","6","1","0","1",""
"82","E","02","05505274","Horana Toastmasters Club","Active","Y","22","21","-1","6","2","2","2","2","0","0","4","2","7","7","1","0","1",""
"82","E","02","06046112","Mobitel Toastmasters Club","Active","Y","20","20","0","3","0","1","0","1","1","1","3","0","5","2","1","0","1",""
"82","E","02","28676071","Trailblazers Toastmasters Club","Active","Y","13","14","1","4","0","1","0","2","0","0","4","0","7","5","1","0","1",""
"82","E","03","00630851","Smedley Toastmasters Club","Active","Y","35","37","2","9","6","2","3","2","1","3","4","3","7","7","1","0","1",""
"82","E","03","01982862","Word Blasters Toastmasters Club","Active","Y","20","13","-7","3","2","1","0","2","0","0","3","0","7","6","1","0","1",""
"82","E","03","02552549","DIMO Toastmasters Club","Active","Y","25","27","2","5","1","2","0","0","0","0","4","5","7","6","1","0","1",""
"82","E","03","28678609","IFS Toastmasters Club","Active","Y","22","24","2","7","4","2","0","0","1","1","4","2","7","6","1","0","1",""
"82","E","04","00861227","CIMA Sri Lanka Toastmasters Club","Active","Y","21","21","0","3","0","1","0","0","1","0","2","0","5","6","1","0","1",""
"82","E","04","03578140","NDB Toastmasters","Active","Y","38","32","-6","3","0","1","0","0","0","0","4","1","7","7","1","0","1",""
"82","E","04","28675857","Union Bank Toastmasters Club","Active","Y","13","13","0","2","0","0","0","0","0","0","4","2","5","2","1","0","1",""
"82","E","04","28676097","DirectFN Toastmasters","Active","Y","20","12","-8","1","0","0","0","0","0","0","3","0","0","0","1","0","1",""
"82","F","01","01481554","Oasis Toastmasters","Active","Y","26","33","7","8","1","2","0","2","1","2","4","8","7","7","1","0","1",""
"82","F","01","01553096","Siyane Toastmasters","Active","Y","47","48","1","5","3","1","0","0","1","0","4","6","7","7","1","0","1",""
"82","F","01","06592577","Kadawatha Toastmasters Club","Active","Y","26","24","-2","7","5","2","1","1","1","1","4","1","7","5","1","0","1",""
"82","F","01","07846183","Kelaniya Toastmasters Club","Active","Y","30","26","-4","5","7","2","1","1","0","0","4","2","7","7","1","0","1",""
"82","F","01","28678226","Gampaha Professionals' Toastmasters Club","Active","Y","20","20","0","4","0","0","0","0","0","0","4","5","7","7","1","0","1",""
"82","F","02","01355969","AATSL Toastmasters Club","Active","Y","38","35","-3","6","2","1","0","2","1","1","4","3","7","7","1","0","1",""
"82","F","02","01504631","Hayleys Toastmasters Club","Active","Y","22","22","0","2","1","0","0","0","0","0","4","2","5","0","1","0","1",""
"82","F","02","04628720","Voice of Colombo Toastmasters Club","Active","Y","13","17","4","5","1","0","0","0","1","1","4","1","7","5","1","0","1",""
"82","F","02","05270893","PLC Toastmasters Club","Active","Y","25","30","5","10","7","2","2","2","1","2","4","6","7","7","1","0","1",""
"82","F","02","28676698","Martin Bauer Hayleys Toastmasters Club","Active","Y","22","27","5","7","9","2","2","3","0","0","4","1","6","6","1","0","1",""
"82","F","03","01357117","HILL CAPITAL TOASTMASTERS","Active","Y","32","29","-3","5","3","2","0","2","0","0","4","2","7","6","1","0","1",""
"82","F","03","07111975","Voice Your Dream Toastmasters Club","Active","Y","20","21","1","5","2","1","0","3","1","0","4","0","6","6","1","0","1",""
"82","F","03","07390888","Matale Toastmasters Club","Active","Y","21","23","2","9","4","2","0","2","1","3","4","7","7","7","1","0","1",""
"82","F","03","28675604","APIIT Kandy Toastmasters Club","Active","Y","25","23","-2","5","4","2","1","1","0","0","4","3","7","6","1","0","1",""
"82","F","04","01244213","Readers Toastmasters Club","Active","Y","29","33","4","5","2","2","0","0","1","0","4","3","7","6","1","0","1",""
"82","F","04","02541805","Virtusa Colombo Toastmasters Club","Active","Y","36","33","-3","8","4","1","0","3","1","1","4","4","7","6","1","0","1",""
"82","F","04","07257255","Batticaloa Toastmasters Club","Active","Y","12","13","1","3","0","1","0","1","1","0","4","2","6","3","1","0","1",""
"82","F","04","28675661","Fortude Toastmasters Club","Active","Y","20","9","-11","0","0","0","0","0","0","0","1","0","7","3","0","0","1",""
"82","F","04","28678423","CSI Toastmasters Club","Active","Y","20","10","-10","1","0","0","0","0","0","0","0","0","7","0","1","0","1",""
"82","G","01","00642857","HNB Toastmasters Club","Active","Y","63","65","2","7","2","2","2","0","1","0","4","5","7","6","1","0","1",""
"82","G","01","01317290","APIIT Toastmasters","Active","Y","8","25","17","5","2","1","0","0","1","0","4","15","6","7","1","0","1",""
"82","G","01","04559377","CBL Foods Toastmasters Club","Active","Y","20","27","7","4","0","0","0","0","0","0","4","5","6","4","1","0","1",""
"82","G","01","05756861","LNP Toastmasters Club","Active","Y","20","20","0","4","2","1","0","0","1","0","4","3","6","4","1","0","1",""
"82","G","01","07466745","Kaduwela Toastmasters Club","Active","Y","25","34","9","8","4","2","1","1","1","1","4","13","7","7","1","0","1",""
"82","G","02","00649172","Serendib Toastmasters Club","Active","Y","22","11","-11","1","0","1","0","0","0","0","3","0","7","4","0","0","1",""
"82","G","02","05275304","Rajagiriya Toastmasters Club","Active","Y","17","22","5","10","4","2","3","2","1","1","4","4","7","7","1","0","1",""
